PipelineID,Category,StartDate,EndDate,SLA_Target_Hrs,Status
P032,ADF,2026-06-01 21:45:00,2026-06-02 01:36:56.977,7.5,Completed
P033,ADF,2026-06-06 20:00:00,2026-06-06 21:04:32.953,4.5,Completed
P034,Synapse,2026-06-02 06:15:00,2026-06-02 11:50:40.973,4.8,Completed
P035,Databricks,2026-06-02 02:45:00,2026-06-02 10:55:34.361,9.5,Completed
P036,Synapse,2026-06-07 00:00:00,2026-06-07 09:18:01.751,10.8,Completed
P037,Synapse,2026-06-04 06:45:00,2026-06-04 15:49:23.546,8.6,Completed
P038,Databricks,2026-06-03 14:30:00,2026-06-03 19:01:06.856,8.5,Completed
P039,Databricks,2026-06-06 22:45:00,2026-06-07 00:43:14.051,5.9,Completed
P040,Databricks,2026-06-06 17:00:00,2026-06-07 00:36:20.764,6.2,Completed
P041,ADF,2026-06-07 16:15:00,2026-06-07 17:17:25.282,4.6,Completed
P042,Databricks,2026-06-05 02:15:00,2026-06-05 06:35:09.124,7.0,Completed
P043,SQL,2026-06-05 01:00:00,2026-06-05 05:28:57.492,7.1,Completed
P044,SQL,2026-06-02 21:30:00,2026-06-03 00:16:03.060,5.8,Completed
P045,ADF,2026-06-04 10:00:00,2026-06-04 10:35:18.589,3.3,Completed
P046,ADF,2026-06-01 17:15:00,2026-06-01 22:33:21.257,4.3,Completed
P047,Databricks,2026-06-02 11:30:00,2026-06-02 13:29:54.942,5.1,Completed
P048,ADF,2026-06-07 20:00:00,2026-06-08 02:50:40.922,10.6,Completed
P049,SQL,2026-06-02 08:00:00,2026-06-02 16:57:08.175,10.4,Completed
P050,Synapse,2026-06-05 06:30:00,2026-06-05 08:56:03.028,4.2,Completed
P051,SQL,2026-06-03 01:00:00,2026-06-03 07:31:32.528,7.7,Completed
P052,Databricks,2026-06-07 04:30:00,2026-06-07 06:32:06.104,5.2,Completed
P053,ADF,2026-06-01 03:00:00,2026-06-01 12:28:40.742,10.9,Completed
P054,ADF,2026-06-07 11:15:00,2026-06-07 15:49:58.706,3.5,Completed
P055,Synapse,2026-06-03 06:15:00,2026-06-03 13:05:09.123,9.5,Completed
P056,Fabric,2026-06-05 23:15:00,2026-06-06 08:32:41.123,10.8,Completed
P057,Fabric,2026-06-04 00:15:00,2026-06-04 07:44:50.505,11.3,Completed
P058,Fabric,2026-06-03 05:00:00,2026-06-03 09:08:02.927,2.9,Completed
P059,ADF,2026-06-07 14:30:00,2026-06-07 17:53:57.528,5.1,Completed
P060,SQL,2026-06-06 06:45:00,2026-06-06 10:22:06.559,7.5,Completed
P061,ADF,2026-06-03 20:45:00,2026-06-04 03:42:19.520,8.9,Completed
P062,Databricks,2026-06-01 08:15:00,2026-06-01 14:15:56.169,7.1,Completed
P063,Databricks,2026-06-04 11:30:00,2026-06-04 16:08:44.671,6.0,Completed
P064,Databricks,2026-06-02 08:00:00,2026-06-02 15:14:00.457,5.3,Completed
P065,SQL,2026-06-06 23:15:00,2026-06-07 03:12:36.374,2.5,Completed
P066,Synapse,2026-06-05 10:00:00,2026-06-05 17:20:15.596,9.3,Completed
P067,Synapse,2026-06-03 12:30:00,2026-06-03 18:16:00.907,4.3,Completed
P068,ADF,2026-06-06 23:15:00,2026-06-07 05:35:50.610,9.0,Completed
P069,Synapse,2026-06-03 09:15:00,2026-06-03 13:50:02.175,7.5,Completed
P070,Fabric,2026-06-04 14:15:00,2026-06-04 19:36:22.151,9.2,Completed
P071,Fabric,2026-06-06 02:30:00,2026-06-06 07:53:48.459,7.4,Completed
P072,Synapse,2026-06-06 09:15:00,2026-06-06 17:24:44.451,7.6,Completed
P073,Synapse,2026-06-05 02:45:00,2026-06-05 07:11:13.883,6.0,Completed
P074,ADF,2026-06-04 12:15:00,2026-06-04 14:09:06.940,5.6,Completed
P075,ADF,2026-06-07 13:15:00,2026-06-07 15:25:15.325,4.7,Completed
P076,Databricks,2026-06-05 07:00:00,2026-06-05 11:50:10.994,7.8,Completed
P077,Databricks,2026-06-05 10:45:00,2026-06-05 17:04:12.709,8.8,Completed
P078,SQL,2026-06-04 05:45:00,2026-06-04 10:31:32.386,8.3,Completed
P079,SQL,2026-06-07 16:45:00,2026-06-07 23:12:14.797,7.7,Completed
P080,Fabric,2026-06-02 08:30:00,2026-06-02 12:02:14.067,5.0,Completed
P081,Databricks,2026-06-04 22:15:00,2026-06-05 05:27:39.535,6.1,Completed
P082,Databricks,2026-06-04 13:00:00,2026-06-04 15:27:53.736,6.2,Completed
P083,Synapse,2026-06-06 00:45:00,2026-06-06 05:46:52.707,6.9,Completed
P084,Synapse,2026-06-07 13:15:00,2026-06-07 18:23:17.448,7.6,Completed
P085,Databricks,2026-06-03 21:45:00,2026-06-04 05:07:47.003,11.1,Completed
P086,Synapse,2026-06-05 00:45:00,2026-06-05 06:52:22.733,7.4,Completed
P087,SQL,2026-06-02 14:15:00,2026-06-02 15:13:39.734,2.6,Completed
P088,ADF,2026-06-03 12:30:00,2026-06-03 20:08:38.736,9.4,Completed
P089,ADF,2026-06-04 00:00:00,2026-06-04 09:59:56.848,12.9,Completed
P090,Fabric,2026-06-07 00:15:00,2026-06-07 02:38:38.135,1.7,Completed
P091,SQL,2026-06-04 21:00:00,2026-06-05 02:51:27.760,9.0,Completed
P092,Databricks,2026-06-02 19:00:00,2026-06-03 02:53:20.483,6.9,Completed
P093,Fabric,2026-06-01 09:45:00,2026-06-01 14:01:05.582,5.5,Completed
P094,Databricks,2026-06-01 22:30:00,2026-06-02 07:04:40.029,9.9,Completed
P095,SQL,2026-06-07 01:30:00,2026-06-07 07:03:39.887,6.8,Completed
P096,Synapse,2026-06-01 13:45:00,2026-06-01 15:15:09.429,4.4,Completed
P097,Databricks,2026-06-06 04:45:00,2026-06-06 06:55:23.884,5.1,Completed
P098,SQL,2026-06-07 17:45:00,2026-06-07 22:39:58.683,7.7,Completed
P099,Databricks,2026-06-07 07:00:00,2026-06-07 10:08:59.346,6.4,Completed
P100,Synapse,2026-06-05 21:45:00,2026-06-06 01:26:44.764,5.7,Completed
